183, 33
241, 33
292, 40
343, 55
394, 69
438, 106
452, 135
474, 186
489, 252
474, 317
452, 368
431, 405
394, 434
343, 456
292, 463
234, 470
183, 478
110, 77
88, 99
81, 135
81, 164
88, 193
88, 310
81, 332
73, 368
88, 397
110, 427
154, 252
190, 252
219, 252
248, 252
278, 215
285, 230
285, 252
285, 274
278, 288
154, 120
146, 142
146, 164
161, 193
168, 171
168, 142
161, 310
146, 332
139, 361
154, 383
161, 361
161, 332
358, 171
336, 201
321, 237
329, 252
321, 274
336, 310
350, 339
372, 303
380, 281
380, 252
380, 223
372, 201
358, 179
343, 230
343, 252
343, 274
350, 332
350, 274
358, 252
350, 230
