181, 32
242, 39
293, 56
343, 76
394, 118
430, 164
454, 198
474, 221
489, 252
474, 276
453, 304
431, 332
399, 375
340, 420
290, 447
235, 464
183, 474
121, 62
104, 114
94, 148
93, 185
104, 233
108, 271
96, 309
94, 347
97, 386
124, 427
191, 252
206, 252
224, 252
250, 252
278, 231
274, 246
280, 252
274, 258
277, 275
178, 92
143, 123
147, 152
181, 198
213, 157
212, 130
176, 308
144, 334
141, 361
173, 411
211, 359
212, 333
356, 203
348, 224
332, 243
342, 253
334, 265
346, 285
349, 305
360, 282
372, 270
377, 253
372, 234
361, 221
356, 216
342, 242
342, 253
342, 263
349, 291
349, 263
347, 252
349, 242
