177, 61
240, 76
291, 99
328, 112
357, 130
390, 167
413, 196
435, 221
452, 256
434, 285
412, 314
384, 345
356, 373
327, 388
300, 401
249, 423
189, 446
148, 76
136, 116
133, 155
134, 193
147, 226
147, 281
140, 299
131, 349
135, 388
146, 426
199, 247
218, 247
236, 247
254, 245
263, 228
271, 236
280, 248
272, 259
263, 268
217, 146
180, 84
174, 147
175, 177
197, 213
217, 178
193, 301
176, 332
175, 364
182, 426
219, 362
219, 331
340, 215
335, 235
330, 251
333, 264
329, 277
335, 291
341, 301
354, 287
359, 275
362, 261
359, 248
356, 235
341, 224
335, 248
337, 264
335, 278
342, 294
339, 278
341, 262
341, 249
