181, 29
242, 35
293, 48
343, 66
394, 99
430, 137
454, 182
474, 215
489, 252
474, 282
453, 322
431, 361
399, 401
340, 438
290, 455
235, 469
183, 475
115, 64
98, 110
88, 141
87, 176
98, 220
102, 285
90, 322
88, 357
91, 393
118, 432
170, 252
207, 252
242, 252
248, 252
276, 216
272, 236
278, 252
272, 267
275, 289
172, 96
139, 128
143, 157
175, 198
198, 161
197, 134
171, 307
141, 332
138, 360
168, 408
197, 360
198, 332
356, 187
344, 215
328, 240
338, 252
330, 268
342, 294
349, 321
365, 291
376, 275
381, 252
376, 227
366, 211
356, 201
342, 237
342, 252
342, 267
349, 306
349, 267
347, 251
349, 237
