181, 28
242, 34
293, 46
343, 62
394, 92
430, 128
454, 173
474, 212
489, 252
474, 285
453, 331
431, 371
399, 410
340, 443
290, 458
235, 470
183, 475
115, 67
98, 111
88, 141
87, 175
98, 218
102, 287
90, 322
88, 357
91, 392
118, 429
167, 252
204, 252
238, 252
248, 252
276, 213
272, 236
277, 252
272, 267
275, 292
170, 97
138, 129
142, 159
173, 199
193, 162
192, 135
169, 306
141, 332
138, 360
166, 406
192, 360
193, 332
356, 183
343, 213
326, 239
337, 252
329, 269
340, 297
349, 325
366, 293
378, 277
383, 252
378, 226
367, 208
356, 197
342, 236
342, 252
342, 268
349, 310
349, 268
347, 251
349, 236
