181, 27
242, 32
293, 42
343, 56
395, 81
430, 112
454, 156
474, 204
489, 252
474, 293
453, 350
431, 388
399, 424
340, 453
290, 463
235, 473
183, 476
114, 70
97, 111
88, 140
86, 172
97, 213
101, 292
89, 325
87, 358
91, 392
117, 427
162, 252
199, 252
231, 252
248, 252
276, 206
272, 236
276, 252
272, 267
275, 299
168, 100
137, 134
142, 163
171, 199
185, 165
184, 138
167, 306
140, 331
137, 360
164, 404
184, 360
185, 331
356, 175
340, 208
324, 237
334, 252
326, 271
338, 302
349, 333
369, 297
381, 279
386, 252
381, 223
370, 203
356, 189
342, 234
342, 252
342, 270
349, 318
349, 270
347, 250
349, 234
