181, 26
242, 31
293, 40
343, 53
395, 77
430, 106
454, 148
474, 198
489, 252
474, 300
453, 358
431, 395
399, 430
340, 457
290, 465
235, 474
183, 476
114, 70
97, 110
87, 138
86, 170
97, 210
101, 295
89, 328
87, 360
90, 392
117, 427
160, 252
196, 252
228, 252
248, 252
276, 203
272, 236
276, 252
272, 267
275, 302
167, 102
137, 136
141, 166
170, 199
181, 166
180, 139
167, 306
140, 330
137, 360
164, 402
181, 360
182, 331
356, 172
339, 206
323, 236
333, 252
325, 271
336, 304
349, 336
371, 299
382, 280
387, 252
382, 221
372, 201
356, 185
342, 232
342, 252
342, 271
349, 322
349, 271
347, 250
349, 232
